OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,COUNTY_NM,PLNG_REGIO,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,SD10,SD_Name,Total_Households__2015,Total_Population__2015,Total_Households__2020,Total_Population__2020,Total_Households__2030,Total_Population__2030,Total_Households__2040,Total_Population__2040,Density__Population_per_Sq_Mile,Density__Population_per_Sq_Mi_1,Change__Population_per_Sq_Mile_,Change__Households__2015_2040,Change__Population__2015_2040,last_edited_date,GlobalID
1,13,045,910103,13045910103,Carroll,ARC 20,13733.900391,211.031998,13945,21.4592,0.329737,21.789101,121,NE Carroll,1846,4813,2123,5475,2809,7141,3551,8992,220.8,,191.7,1705,4179,2016-06-22T20:22:22.000Z,{548276BF-5D76-4FB7-8C19-07301AD29611}
2,13,045,910104,13045910104,Carroll,ARC 20,10931.299805,177.147995,11108.5,17.0802,0.276794,17.357,121,NE Carroll,3223,8918,3367,9196,3639,9809,3800,10147,512.5,,70.6,577,1229,2016-06-22T20:22:22.000Z,{16B9EC03-83C8-4B1F-ABEE-F30A0339528E}
3,13,045,910502,13045910502,Carroll,ARC 20,1039.959961,35.622002,1075.589966,1.62494,0.055659,1.68061,123,Central Carroll,1279,3356,1407,3645,1577,4013,1743,4289,1974.1,,548.8,464,933,2016-06-22T20:22:22.000Z,{0AF45191-BCC2-4EB5-9567-594C116698D0}
4,13,045,910800,13045910800,Carroll,ARC 20,42136.601562,437.873993,42574.5,65.838402,0.684178,66.522697,124,SE Carroll,1783,4775,2082,5473,2684,6994,3371,8684,71.8,,58.8,1588,3909,2016-06-22T20:22:22.000Z,{E3F56FD3-FEDC-4283-8C4E-DA3C6170BB7B}
5,13,045,910101,13045910101,Carroll,ARC 20,4104.149902,16.126101,4120.27002,6.41273,0.025197,6.43792,121,NE Carroll,2335,6107,2600,6706,3135,7987,3256,8240,954.2,,333.3,921,2133,2016-06-22T20:22:22.000Z,{6E1555DB-B173-44D1-83F9-F07660C4B91C}
6,13,045,910200,13045910200,Carroll,ARC 20,29329.300781,392.248993,29721.599609,45.827,0.612889,46.439999,121,NE Carroll,4393,11951,5165,13883,6503,17245,7713,20288,257.6,,179.7,3320,8337,2016-06-22T20:22:22.000Z,{CCE340BA-7E1D-4C7D-B649-B64FABD2E280}
7,13,045,910900,13045910900,Carroll,ARC 20,32149.599609,480.14801,32629.699219,50.2337,0.750231,50.983898,124,SE Carroll,1778,4824,2155,5774,2647,7012,2958,7749,94.6,,57.4,1180,2925,2016-06-22T20:22:22.000Z,{23A42D31-25EE-4184-A2F5-0B441DCD0411}
8,13,045,910300,13045910300,Carroll,ARC 20,36344.898438,214.264008,36559.101562,56.788898,0.334788,57.1236,122,W Carroll,2435,6456,2704,7083,3061,7921,3393,8655,113.1,,38.5,958,2199,2016-06-22T20:22:22.000Z,{E32F6A7A-75F0-4006-A2AF-A5A374467A05}
9,13,045,911100,13045911100,Carroll,ARC 20,12758.700195,138.085999,12896.799805,19.935499,0.215759,20.151199,123,Central Carroll,3211,7537,3468,8067,3782,8739,4239,9703,373.1,,107.2,1028,2166,2016-06-22T20:22:22.000Z,{C720AA2F-91C8-4AE9-B70C-AC3985C02E6F}
10,13,045,911000,13045911000,Carroll,ARC 20,12543,130.886002,12673.799805,19.5984,0.204509,19.802799,123,Central Carroll,2512,6455,2833,7185,3308,8398,3828,9500,326,,153.8,1316,3045,2016-06-22T20:22:22.000Z,{A3E24693-FF53-47DE-9353-E652DBE50E5D}
