OBJECTID,TIAID,PRJ_NAME,PURPOSE,PRJ_TYPE,SHORTSCOPE,PRJ_LENGTH,JURISDICTN,SUBREGION,ASSET_MNG,RDWY_CAP,FREIGHT,SAFETY_OP,AVIATION,BIKE_PED,TRANS_CAP,PLN_2040,TRANS_OP,RELATED_ID,FED_FUNDS,TIA_FUNDS,LOC_FUNDS,TOTALFUNDS,GlobalID,last_edited_date
1,TIA-CO-046,Windy Hill Road from SR 280 (South Cobb Drive) to US 41 (Cobb Parkway) - Widening and Operational Improvements,"This project consists of capacity and operational improvements to Windy Hill Road from SR 280 (South Cobb Drive) to US 41 (Cobb Parkway), including a raised median and a possible boulevard concept on the current 5 lane section.  This will reduce congesti",Roadway,"This project will consist of capacity and operational improvements along Windy Hill Road between South Cobb Drive and Cobb Parkway. It will include a raised median, a possible boulevard concept and possible grade separations at South Cobb Drive and at At",3.1,Cobb,Northwest Subregion,No,Yes,No,Yes,No,Yes,No,"Within limits of a PLAN 2040 project; construction planned beyond 2040",No,ASP-CO-428,0,22999900,4000000,26999900,{25EA2CD3-20A7-4640-8DAE-AF4C5D9F4B25},
2,TIA-CO-045,SR 92 (Lake Acworth Drive) from US 41 (Cobb Parkway) to Cherokee Street - Widening,"This project will increase capacity and provide operational and safety improvements to SR 92 (Lake Acworth Drive), a Regional Thoroughfare and Regional Truck Route connecting US 41 (Cobb Parkway) with I-75.  The project consists of the widening of Lake A",Roadway,"This project will widen Lake Acworth Drive, between Cobb Parkway and Cherokee Street / Glade Road, from two to four lanes. It will include new bridges at Lake Allatoona / Lake Acworth, and at CSX Railroad / North Main Street, as well as sidewalks, a side",2.3,Cobb,Northwest Subregion,No,Yes,Yes,Yes,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,CO-301,0,29100000,0,29100000,{F574E98B-B66E-4593-8B4D-9B460DA04C21},
3,TIA-M-005,MARTA Tunnel and Platform Lighting Upgrade,This project will upgrade and expand the lighting in underground tunnels throughout the MARTA rail system as part of supports the national Homeland Security transit security priority. High pressure sodium lighting fixtures will be replaced with fluoresce,Transit,"This project will upgrade and expand the lighting in underground tunnels throughout the MARTA rail system as part of the national Homeland Security transit security priority. Phase 1 of this project will upgrade the tunnels in the vicinity of Vine City,",N/A,Regional,Regional,No,No,No,No,No,No,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on preservation of existing transit services",Yes,N/A,0,28000000,0,28000000,{58D1E083-7C8A-4C68-B3DF-117DC1A04E2B},
4,TIA-M-006,MARTA Tunnel Ventilation Rehabilitation,"This project will upgrade and refurbish tunnel ventilation systems throughout the MARTA system, required for the continuous movement of fresh air throughout the various stations and tunnels in the MARTA system.  This is critical for efficient smoke remov",Transit,"This project will upgrade and refurbish tunnel ventilation systems throughout the MARTA system, required for the continuous movement of fresh air throughout the various stations and tunnels in the MARTA system.  This is critical for efficient smoke remov",N/A,Regional,Regional,No,No,No,No,No,No,No,"Not identified as a line item in PLAN 2040, but consistent with plan emphasis on preservation of existing transit services",Yes,N/A,0,700000,0,700000,{5365B93C-1DFF-4215-97BC-C78121603D5D},
5,TIA-CH-009,SR 140 (Hickory Flat Highway / Arnold Mill Road) from Mountain Road to Fulton County Line - Widening,"This project widens and realigns 2.0 miles of SR 140, from Mountain Road in Cherokee County to the Fulton County line, from two to four lanes.  The project also includes a new 4-lane bridge over the Little River.  SR 140 is designated as a Regional Thoro",Roadway,"This project widens and realigns SR 140, between Mountain Road in Cherokee County and the Fulton County line, from two to four lanes.  It will include a new four-lane bridge over the Little River as well as sidewalks and bicycle lanes. SR 140 connects th",2.0,Cherokee,North Subregion,No,Yes,No,No,No,Yes,No,Project identified as a line item in PLAN 2040 with construction planned in 2018-2030 timeframe,No,FN-232A,0,50000000,0,50000000,{EC3D0397-E2DA-41E8-9B34-7EDE94732AE9},
6,TIA-FN-013,Hammond Drive from SR 9 (Roswell Road) to SR 400 - Improvements,Hammond Drive is a major east-west roadway of the City of Sandy Springs that runs between Mt. Vernon Highway and Ashford-Dunwoody Road in Fulton and DeKalb Counties. The western portion of Hammond Drive is on the Regional Strategic Transportation System,Roadway,"This project will widen Hammond Drive from two to four lanes between Roswell Road and Barfield Road near the interchange with SR 400.  Also included will be a median, multi-use paths on both sides of the roadway and a linear park along Hammond Drive from",1.2,Fulton,North Subregion,No,Yes,No,Yes,No,Yes,Yes,Project identified as line item in PLAN 2040 with construction planned for 2018-2030 timeframe,No,FN-267,0,10000000,23500000,33500000,{289B0A7C-F5F3-49C6-804F-E0622E22BDFD},
7,TIA-FN-014,SR 400 from I-285 North to Spalding Drive - Collector Distributor Lanes,This project will construct collector/distributor lanes along SR 400 from I-285 to Spalding Drive.  It will provide additional north/south access to Sandy Springs and northern Fulton County via two lanes in each direction that run parallel to SR 400. Add,Roadway,This project will construct collector/distributor lanes along SR 400 from I-285 to Spalding Drive.  It will provide additional north/south access to Sandy Springs and northern Fulton County via two lanes in each direction that run parallel to SR 400. Add,3.0,Fulton,North Subregion,No,Yes,Yes,Yes,No,No,No,Project identified as line item in PLAN 2040 with construction planned for 2018-2030 timeframe,No,FN-AR-100A,30000000,160000000,0,190000000,{EEAB82D2-1B87-4D6C-805B-226DC41B94AC},
8,TIA-FN-035,SR 9 (Atlanta Street) from Chattahoochee River to SR 120 (Marietta Highway) - Widening and Corridor Improvements,"This project will widen and provide corridor improvements along Atlanta Street from the Chattahoochee River to Marietta Highway, addressing four specific safety and operational issues.  The project will remove the reversible lane system by adding one add",Roadway,"This project will widen and provide corridor improvements along Atlanta Street from the Chattahoochee River to Marietta Highway, addressing four specific safety and operational issues.  The project will remove the reversible lane system by adding one add",1.1,Fulton,North Subregion,Yes,Yes,Yes,Yes,No,Yes,No,Project identified as line item in PLAN 2040 with construction planned for 2018-2030 timeframe,No,FN-269,0,20400000,0,20400000,{047298B2-1D88-429E-8CB6-AC06252331A8},
9,TIA-FN-036,SR 140 (Houze Road) from Rucker Road to Mansell Road - Operational Improvements,This project provides operational upgrades along the Houze Road corridor.  It complements the roadway capacity project on Arnold Mill Road (TIA-FN-030) and the operational upgrade project on Rucker Road (TIA-FN-007).  Operational improvements will includ,Roadway,This project provides operational upgrades along the Houze Road corridor.  It complements the roadway capacity project on Arnold Mill Road (TIA-FN-030) and the operational upgrade project on Rucker Road (TIA-FN-007).  Operational improvements will includ,2.5,Fulton,North Subregion,No,No,No,Yes,No,Yes,No,Project identified as line item in PLAN 2040 with construction planned for 2018-2030 timeframe,No,FN-126B,0,18600000,0,18600000,{934848C1-025D-4250-937F-954232D76354},
10,TIA-FN-043,SR 120 (Abbotts Bridge Road) from Parsons Road (east of SR 141) to Peachtree Industrial Boulevard - Widening,"This project will widen SR 120 (Abbotts Bridge Road) from two lanes to four lanes from Parsons Road, located east of Medlock Bridge Road, to Peachtree Industrial Boulevard. This project will also include the widening of a 300' long bridge over the Chatta",Roadway,This project will widen Abbotts Bridge Road from two lanes to four lanes from Parsons Road located east of Medlock Bridge Road to Peachtree Industrial Boulevard.  Widening of Abbots Bridge Road would reduce the trip distance for these diverted trips and,1.4,Fulton,North Subregion,No,Yes,Yes,No,No,No,No,Project identified as line item in PLAN 2040 with construction planned for 2018-2030 timeframe,No,FN-264,0,28000000,0,28000000,{6476C503-4F37-498F-8A23-005AB6CDFDDA},
