OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,CHANGE_WORKERS_2002_07,CHG_WRKRS_AGE_29_YNGR_2002_07,CHG_WRKRS_AGE_30_54_2002_07,CHG_WRKRS_AGE_55_OLDR_2002_07,CHG_WRKRS_1250_LESS_2002_07,CHG_WRKRS_1251_3333_2002_07,CHG_WRKRS_3333_MORE_2002_07,CHG_PCT_WRKRS_29_YNGR_2002_07,CHG_PCT_WRKRS_30_54_2002_07,CHG_PCT_WRKRS_55_OLDR_2002_07,CHG_PCT_WRKRS_1250_LESS_2002_07,CHG_PCT_WRKRS_1251_3333_2002_07,CHG_PCT_WRKRS_3333_MORE_2002_07,CHANGE_WORKERS_2007_10,CHG_WRKRS_AGE_29_YNGR_2007_10,CHG_WRKRS_AGE_30_54_2007_10,CHG_WRKRS_AGE_55_OLDR_2007_10,CHG_WRKRS_1250_LESS_2007_10,CHG_WRKRS_1251_3333_2007_10,CHG_WRKRS_3333_MORE_2007_10,CHG_PCT_WRKRS_29_YNGR_2007_10,CHG_PCT_WRKRS_30_54_2007_10,CHG_PCT_WRKRS_55_OLDR_2007_10,CHG_PCT_WRKRS_1250_LESS_2007_10,CHG_PCT_WRKRS_1251_3333_2007_10,CHG_PCT_WRKRS_3333_MORE_2007_10,CHANGE_WORKERS_2010_15,CHG_WRKRS_AGE_29_YNGR_2010_15,CHG_WRKRS_AGE_30_54_2010_15,CHG_WRKRS_AGE_55_OLDR_2010_15,CHG_WRKRS_1250_LESS_2010_15,CHG_WRKRS_1251_3333_2010_15,CHG_WRKRS_3333_MORE_2010_15,CHG_PCT_WRKRS_29_YNGR_2010_15,CHG_PCT_WRKRS_30_54_2010_15,CHG_PCT_WRKRS_55_OLDR_2010_15,CHG_PCT_WRKRS_1250_LESS_2010_15,CHG_PCT_WRKRS_1251_3333_2010_15,CHG_PCT_WRKRS_3333_MORE_2010_15,CHANGE_WORKERS_2002_15,CHG_WRKRS_AGE_29_YNGR_2002_15,CHG_WRKRS_AGE_30_54_2002_15,CHG_WRKRS_AGE_55_OLDR_2002_15,CHG_WRKRS_1250_LESS_2002_15,CHG_WRKRS_1251_3333_2002_15,CHG_WRKRS_3333_MORE_2002_15,CHG_PCT_WRKRS_29_YNGR_2002_15,CHG_PCT_WRKRS_30_54_2002_15,CHG_PCT_WRKRS_55_OLDR_2002_15,CHG_PCT_WRKRS_1250_LESS_2002_15,CHG_PCT_WRKRS_1251_3333_2002_15,CHG_PCT_WRKRS_3333_MORE_2002_15,GlobalID,last_edited_date
1,13045910103,13045,"Census Tract 9101.03, Carroll County",4824,361,ARC 20,13733.90039063,211.03199768,13945,21.45919991,0.32973701,21.78910065,910103,Carroll,490,152,253,85,128,118,244,0.40000001,-2.20000005,1.79999995,1.60000002,-7,5.4000001,-200,-174,-48,22,-56,-144,0,-7,4.0999999,2.9000001,-0.80000001,-3.5,4.30000019,659,158,329,172,89,185,385,0.30000001,-3.4000001,3.0999999,-2.0999999,-3.29999995,5.5,949,136,534,279,161,159,629,-6.4000001,-1.5,7.80000019,-1.29999995,-13.89999962,15.19999981,{05AEDD3E-A057-4AF5-BF88-8F482D12A6B9},
2,13045910104,13045,"Census Tract 9101.04, Carroll County",10068,865,ARC 20,10931.29980469,177.147995,11108.5,17.0802002,0.27679399,17.35700035,910104,Carroll,476,75,313,88,-117,60,533,-1.79999995,0.80000001,1,-6.80000019,-4.69999981,11.5,-252,-302,-18,68,-95,-149,-8,-7,4,2.9000001,-1.29999995,-1.20000005,2.5,266,233,-86,119,100,-14,180,4.9000001,-7.0999999,2.20000005,1.39999998,-3.5,2.0999999,490,6,209,275,-112,-103,705,-3.79999995,-2.29999995,6.0999999,-6.69999981,-9.39999962,16.20000076,{8994B304-A68E-48F4-B9D1-11EC06E21DA6},
3,13045910502,13045,"Census Tract 9105.02, Carroll County",3339,523,ARC 20,1039.95996094,35.62200165,1075.58996582,1.62494004,0.0556594,1.68060994,910502,Carroll,-215,24,-251,12,-73,-199,57,8,-10.69999981,2.79999995,-0.2,-7,7.19999981,90,-101,147,44,-76,111,55,-10.89999962,8.30000019,2.5999999,-8.39999962,5.4000001,3,-218,-7,-194,-17,4,-184,-38,5.4000001,-6.9000001,1.5,5.5,-6.5999999,1,-343,-84,-298,39,-145,-272,74,2.4000001,-9.39999962,6.9000001,-3.0999999,-8.10000038,11.19999981,{F77D1842-07DC-4F77-B75B-293150942C62},
4,13045910800,13045,"Census Tract 9108, Carroll County",4188,451,ARC 20,42136.6015625,437.87399292,42574.5,65.83840179,0.68417799,66.52269745,910800,Carroll,152,16,58,78,-62,41,173,-1.29999995,-1.89999998,3.20000005,-5.80000019,-1.5,7.30000019,-154,-106,-46,-2,-102,-112,60,-4.0999999,2.70000005,1.39999998,-4,-2.70000005,6.69999981,-25,72,-144,47,18,-78,35,4.69999981,-7.9000001,3.20000005,1.39999998,-4.0999999,2.79999995,-27,-18,-132,123,-146,-149,268,-0.69999999,-7.0999999,7.69999981,-8.5,-8.39999962,16.79999924,{388F20F3-E10D-4D8E-9AAE-E9629089D3E4},
5,13045910101,13045,"Census Tract 9101.01, Carroll County",6224,495,ARC 20,4104.14990234,16.12610054,4120.27001953,6.41273022,0.025197,6.43792009,910101,Carroll,583,232,295,56,11,264,308,3.0999999,-2.29999995,-0.80000001,-7.80000019,-2,9.80000019,144,-11,86,69,98,-35,81,-2.5999999,0.2,2.4000001,3,-4.9000001,1.79999995,306,17,229,60,-4,0,310,-2.9000001,2.20000005,0.69999999,-3.20000005,-5.5999999,8.69999981,1033,238,610,185,105,229,699,-2.4000001,0.1,2.29999995,-7.9000001,-12.5,20.39999962,{DBA55F9C-E305-4226-819F-22D55368D131},
6,13045910200,13045,"Census Tract 9102, Carroll County",11669,1080,ARC 20,29329.30078125,392.24899292,29721.59960938,45.82699966,0.61288899,46.43999863,910200,Carroll,667,108,362,197,20,199,448,-2.20000005,-0.89999998,3.0999999,-3.70000005,-2.79999995,6.5999999,102,-48,74,76,38,-50,114,-1.79999995,0.30000001,1.5,0.40000001,-2.29999995,1.89999998,705,97,447,161,-10,109,606,-1.70000005,0.60000002,1.10000002,-3.4000001,-3.79999995,7.30000019,1474,157,883,434,48,258,1168,-5.5999999,0,5.5999999,-6.80000019,-9,15.69999981,{9F565431-FCAB-407D-9136-9691DF48D99D},
7,13045910900,13045,"Census Tract 9109, Carroll County",4064,348,ARC 20,32149.59960938,480.14801025,32629.69921875,50.2336998,0.75023103,50.98389816,910900,Carroll,105,-11,43,73,-54,-82,241,-2.0999999,-1.10000002,3.20000005,-4.4000001,-7.30000019,11.69999981,-237,-109,-114,-14,-94,-123,-20,-3.20000005,1.70000005,1.5,-2.70000005,-1.20000005,3.9000001,4,8,-56,52,6,-129,127,0.40000001,-3.5999999,3.20000005,0.30000001,-8.10000038,7.69999981,-128,-112,-127,111,-142,-334,348,-4.9000001,-3,7.9000001,-6.69999981,-16.60000038,23.39999962,{7BDABE53-13DC-4551-BA01-E47E1082152A},
8,13045910300,13045,"Census Tract 9103, Carroll County",5978,488,ARC 20,36344.8984375,214.26400757,36559.1015625,56.78889847,0.33478799,57.12360001,910300,Carroll,232,-29,153,108,-28,-3,263,-3.4000001,0.5,2.79999995,-3.20000005,-4.19999981,7.4000001,-333,-146,-190,3,-125,-159,-49,-2.70000005,0.40000001,2.29999995,-2,-0.40000001,2.4000001,19,39,-67,47,7,-99,111,1.39999998,-3.20000005,1.79999995,0.1,-4.4000001,4.30000019,-82,-136,-104,158,-146,-261,325,-4.5999999,-2.29999995,6.9000001,-5.0999999,-9,14.10000038,{2634B394-F916-46E2-A743-21A16981DF42},
9,13045911100,13045,"Census Tract 9111, Carroll County",7217,756,ARC 20,12758.70019531,138.08599854,12896.79980469,19.93549919,0.21575899,20.15119934,911100,Carroll,197,-16,52,161,-93,33,257,-2.20000005,-1.79999995,4,-4.30000019,-1.39999998,5.80000019,-375,-215,-151,-9,-119,-202,-54,-3.9000001,1.79999995,2,-1.20000005,-1.79999995,3,-19,36,-101,46,-11,-66,58,1.39999998,-3.0999999,1.70000005,-0.2,-2,2.20000005,-197,-195,-200,198,-223,-235,261,-4.69999981,-3,7.69999981,-5.80000019,-5.19999981,11,{60DA917A-9F2C-46D3-A75D-B14AB62DF590},
10,13045911000,13045,"Census Tract 9110, Carroll County",6083,761,ARC 20,12543,130.88600159,12673.79980469,19.59840012,0.204509,19.80279922,911000,Carroll,-69,-9,-111,51,-200,-79,210,0.40000001,-2.5,2.0999999,-6.4000001,-1.70000005,8.10000038,-146,-207,28,33,-90,-111,55,-6.19999981,4.0999999,2.0999999,-2.0999999,-1.89999998,4,76,85,-90,81,19,-80,137,2.5,-5,2.5,0.1,-4,3.9000001,-139,-131,-173,165,-271,-270,402,-3.29999995,-3.29999995,6.69999981,-8.39999962,-7.5999999,16.10000038,{50AFCA81-0A57-45F4-97FA-E046B38D4EF9},
