OBJECTID,ZipCode,FeatureID,PrefCity,SHAPESTArea,SHAPESTLength
1,30304,LZC0000155,Atlanta,874668.171630859,3578.07989633613
2,30098,LZC0000063,,2071539.0871582,6186.60973058498
3,30183,LZC0000108,,1688853933.2627,206212.04738023
4,30114,LZC0000073,,2900081506.63501,376887.289525919
5,30040,LZC0000025,,137060812.214355,60784.0224690289
6,30115,LZC0000074,,1749398890.21338,263412.841905247
7,30189,LZC0000113,,598917849.595215,141742.586460397
8,30188,LZC0000112,,1238740714.40674,196274.618124586
9,30518,LZC0000201,,931251870.04126,131752.762421836
10,30519,LZC0000202,,875702119.05542,203476.832165654
11,30517,LZC0000199,,62901502.8059082,37845.3087747515
12,30291,LZC0000149,Union City,271391983.840332,123056.08099059
13,30268,LZC0000138,Palmetto,2016560913.05469,313050.110439811
31,30620,LZC0000207,,92055061.6962891,49186.5788510681
32,30067,LZC0000042,,409284422.810059,116737.732514106
33,30360,LZC0000196,,173056931.776611,81521.2362901101
34,30044,LZC0000028,,710484575.779785,144876.501076396
35,30008,LZC0000004,,279291100.252441,109740.353679316
36,30093,LZC0000058,,333122895.337402,114768.916929658
37,30132,LZC0000083,,8542905.84863281,18568.2752378834
38,30340,LZC0000186,,240995416.223877,94867.7237905045
39,30069,LZC0000044,,83397391.7099609,49702.0821240484
40,30047,LZC0000030,,765593164.206787,190856.314833821
41,30341,LZC0000188,,278621592.057129,102003.056743968
42,30017,LZC0000012,,322525159.886475,88472.3672456352
43,30078,LZC0000049,,492675002.451904,135274.77577836
44,30084,LZC0000054,,430452338.669189,134749.958202069
45,30345,LZC0000191,,202304795.008057,86250.9206559538
46,30106,LZC0000069,,364266908.810059,125084.033211225
47,30087,LZC0000055,,726351273.730469,164936.661857639
48,30329,LZC0000178,Brookhaven,146090113.91626,76916.3924631892
68,30288,LZC0000147,,191113339.654297,80516.6681128721
69,30320,LZC0000172,Atlanta,114723932.827393,48674.5171608332
70,30297,LZC0000153,,378823857.149414,123654.248621167
71,30281,LZC0000146,,2012617722.64404,254895.209095854
72,30260,LZC0000135,,330608462.053711,105976.223464531
73,30273,LZC0000140,,183539634.685303,65877.6213486738
74,30274,LZC0000141,,281874413.706787,115464.453974243
75,30252,LZC0000132,,2672932718.20679,300714.117320574
76,30236,LZC0000127,,934140584.187988,192422.497517522
77,30238,LZC0000128,,494172426.031982,140770.939417262
78,30214,LZC0000117,,1202817166.85132,195105.020579348
79,30253,LZC0000133,,1419202333.9541,196259.622745839
80,30290,LZC0000148,,529928680.673584,111329.99837124
81,30228,LZC0000123,,1964267030.06396,248311.861086016
82,30215,LZC0000118,,2144924987.65674,284486.451034647
105,30103,LZC0000067,,1236057980.25708,170178.866271734
106,30145,LZC0000093,,1979369750.53906,267365.187560622
107,30161,LZC0000099,,143621431.478027,52043.5111781082
108,30104,LZC0000068,,491224718.718506,120538.819911073
109,30103,LZC0000066,,955182508.293213,155013.925639332
110,30121,LZC0000078,,1534155.38598633,8800.361552437
111,30121,LZC0000079,,1630893691.67896,282431.609934724
112,30137,LZC0000088,,250283517.17041,62148.2452457149
113,30132,LZC0000085,,4231151636.01782,321226.924438477
114,30153,LZC0000097,,958906534.763916,173089.328403543
115,30148,LZC0000094,,183530149.545654,80043.6667110846
116,30177,LZC0000104,,105958880.762207,53954.939826077
117,30175,LZC0000103,,1737466531.59326,241460.892315485
118,30148,LZC0000095,,260988.148681641,2983.22096059491
119,30205,LZC0000114,,384377441.7146,81519.8506676159
120,30224,LZC0000121,,162633681.984619,61531.5936464822
121,30292,LZC0000150,,429778936.259521,102598.84806523
122,30224,LZC0000122,,1303389938.69995,205784.763893562
123,30248,LZC0000130,,220571875.722412,112005.344957143
124,30223,LZC0000120,,2968419453.35962,302780.037917082
125,30228,LZC0000124,,119508271.394287,57982.2483726428
126,30011,LZC0000007,,521855793.733887,112428.66067437
127,30517,LZC0000200,,81871561.5568848,42080.6559553347
128,30548,LZC0000205,,251468635.03125,66946.775502481
129,30620,LZC0000206,,558883427.990723,99616.7569834113
130,30666,LZC0000213,,566097571.197021,110978.024225409
131,30662,LZC0000212,,31917136.8156738,27325.4854859011
132,30680,LZC0000214,,2782783575.88623,289438.63857685
133,30267,LZC0000137,,109216659.170166,43360.9912809434
134,30650,LZC0000208,,142295850.858398,48434.6385597042
135,30650,LZC0000209,,490307344.256592,105240.496506643
136,30655,LZC0000210,,2594780966.95776,325225.334997958
137,30656,LZC0000211,,2142412619.33203,243379.491284901
138,30055,LZC0000035,,760828192.352783,160718.647385944
139,30056,LZC0000036,,251010618.000732,73973.3771161493
140,30052,LZC0000031,,29895945.6467285,24220.1059200314
141,30346,LZC0000192,,26605596.5354004,20541.8682117317
142,30079,LZC0000050,,37434395.0578613,28622.6557460106
143,30322,LZC0000173,,8034260.84619141,11583.7835672422
144,30030,LZC0000018,,187809326.769775,63295.8830143841
145,30002,LZC0000001,,45994921.3579102,39695.5809120442
146,30097,LZC0000061,Duluth,41787834.0471191,30149.2288089419
147,30092,LZC0000057,Peachtree Corners,302761183.912598,86110.0975355736
148,30024,LZC0000016,Suwanee,1150029352.38599,230969.988947844
