City,Population,"Violent
crime",,"Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Violent
Crime per 100000",violent crime index,"Property
Crime per 100000",prop crime index,Crime Index
Abbeville,2736,4,146.2,0,0,0,4,9,328.95,6,3,0,0,146.2,92,328.95,99,94.1
Acworth,22747,40,175.85,0,7,6,27,579,2545.39,43,513,23,0,175.85,90,2545.39,89,89.7
Adairsville,4844,6,123.86,0,1,1,4,131,2704.38,14,100,17,0,123.86,93,2704.38,89,91.8
Adel,5359,33,615.79,1,2,14,16,363,6773.65,70,281,12,0,615.79,65,6773.65,72,67.1
Alamo,3437,2,58.19,0,0,0,2,21,611,6,14,1,0,58.19,97,611,97,97
Alapaha,661,1,151.29,0,0,0,1,2,302.57,0,2,0,0,151.29,91,302.57,99,93.4
Albany,73209,827,1129.64,22,27,152,626,4116,5622.26,879,3048,189,28,1129.64,36,5622.26,77,48.3
Alma,3570,25,700.28,0,3,4,18,234,6554.62,61,161,12,1,700.28,60,6554.62,73,63.9
Alpharetta,66711,34,50.97,0,1,22,11,1187,1779.32,96,1056,35,1,50.97,97,1779.32,93,95.8
Alto,1163,0,0,0,0,0,0,10,859.85,0,10,0,0,0,100,859.85,96,98.8
Aragon,1241,2,161.16,0,0,0,2,6,483.48,4,0,2,0,161.16,91,483.48,98,93.1
Arcade,1811,6,331.31,0,0,0,6,30,1656.54,7,19,4,0,331.31,81,1656.54,93,84.6
Arlington,1365,14,1025.64,1,5,1,7,32,2344.32,8,22,2,0,1025.64,42,2344.32,90,56.4
Ashburn,3674,29,789.33,0,2,5,22,123,3347.85,19,95,9,3,789.33,55,3347.85,86,64.3
Athens-Clarke County,124903,519,415.52,6,57,123,333,3930,3146.44,683,3017,230,13,415.52,76,3146.44,87,79.3
Atlanta,481343,4504,935.72,79,282,1413,2730,22991,4776.43,3390,16304,3297,74,935.72,47,4776.43,80,56.9
Attapulgus,429,0,0,0,0,0,0,3,699.3,0,3,0,0,0,100,699.3,97,99.1
Auburn,7698,11,142.89,2,2,2,5,140,1818.65,27,99,14,0,142.89,92,1818.65,92,92
Avondale Estates,3183,6,188.5,0,0,1,5,50,1570.85,9,37,4,0,188.5,89,1570.85,93,90.2
Bainbridge,12208,47,384.99,1,6,10,30,379,3104.52,92,270,17,4,384.99,78,3104.52,87,80.7
Baldwin,3308,9,272.07,0,1,1,7,46,1390.57,8,38,0,1,272.07,85,1390.57,94,87.7
Ball Ground,2003,0,0,0,0,0,0,16,798.8,2,13,1,0,0,100,798.8,97,99.1
Barnesville,6696,24,358.42,0,1,1,22,289,4316.01,44,232,13,0,358.42,80,4316.01,82,80.6
Baxley,4752,48,1010.1,1,2,4,41,327,6881.31,109,211,7,0,1010.1,43,6881.31,71,51.4
Berlin,560,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100
Blackshear,3620,39,1077.35,1,0,4,34,210,5801.1,28,176,6,0,1077.35,39,5801.1,76,50.1
Blairsville,569,1,175.75,0,0,1,0,19,3339.19,3,16,0,0,175.75,90,3339.19,86,88.8
Blakely,4649,37,795.87,0,2,3,32,96,2064.96,37,56,3,0,795.87,55,2064.96,91,65.8
Bloomingdale,2729,0,0,0,0,0,0,55,2015.39,10,35,10,0,0,100,2015.39,92,97.6
Blue Ridge,1400,11,785.71,0,0,3,8,17,1214.29,4,12,1,0,785.71,55,1214.29,95,67
